num_reactions,num_comments
529,512
150,0
227,236
111,0
213,0
217,6
503,614
295,453
203,1
170,9
210,2
222,4
313,4
209,4
346,11
332,100
135,256
150,173
221,166
152,2
234,15
227,7
98,0
18,0
102,0
37,0
75,36
90,78
145,9
253,300
85,0
45,14
92,0
125,1
119,4
293,8
128,137
84,15
66,11
171,292
90,72
139,39
236,181
225,210
275,12
372,456
445,9
128,60
186,235
309,444
77,11
119,72
100,21
240,255
164,136
202,327
211,284
148,114
97,81
279,292
263,8
177,193
517,32
289,258
66,13
112,6
206,259
362,468
184,130
216,251
57,0
272,258
248,247
132,89
226,341
35,1
219,316
94,1
259,368
62,1
127,76
149,63
134,171
392,461
310,540
14,3
293,6
236,12
312,10
24,12
16,9
33,12
675,10
737,18
572,16
23,7
266,25
378,512
421,709
1493,1979
76,17
36,11
19,8
27,10
117,2
146,1
166,0
190,0
217,16
458,14
553,15
203,18
1005,25
202,145
428,14
479,17
212,116
225,157
171,46
247,120
269,453
258,486
109,2
97,5
280,199
325,77
51,11
280,825
688,0
365,805
295,5
27,14
15,11
16,12
29,12
28,6
8,8
10,9
39,8
49,11
226,449
104,49
251,17
244,589
252,558
121,15
321,5
103,8
136,31
337,247
648,13
175,157
339,424
341,3
177,131
201,0
43,7
40,7
58,14
403,525
148,4
150,24
53,12
144,15
298,491
171,4
4410,633
374,588
181,20
267,20
60,7
98,23
26,7
255,18
174,6
64,5
62,3
192,417
110,18
119,12
42,11
234,355
54,10
82,8
18,8
147,17
80,8
299,564
629,11
69,2
219,110
30,2
65,1
161,7
398,605
47,7
182,3
317,158
571,888
16,10
30,9
57,7
74,6
368,911
19,3
176,3
133,7
162,6
734,996
42,16
33,6
29,6
43,6
14,6
475,574
50,8
94,23
303,34
168,7
248,14
422,6
189,3
390,17
618,28
191,2
321,1381
364,7
51,10
282,524
369,14
138,16
96,9
186,11
487,15
282,19
383,8
216,0
48,0
885,462
185,11
259,1
299,9
199,9
717,40
155,2
293,8
243,6
264,2
313,3
208,1
216,0
247,6
152,1
387,3
178,9
218,4
270,3
351,4
232,0
252,3
122,0
209,4
305,5
71,10
290,12
67,6
783,11
77,2
22,0
103,0
32,0
239,5
111,6
51,0
34,4
15,0
75,0
177,2
520,8
134,2
228,1
498,254
166,5
272,265
127,7
30,0
33,1
252,5
287,0
264,8
152,5
61,5
172,7
616,523
188,0
593,309
189,2
178,5
318,7
362,9
48,6
248,1
520,2
97,8
400,16
218,0
77,13
204,4
405,6
210,0
214,1
374,4
457,3
215,0
7,5
38,6
168,1
277,0
196,1
100,3
85,4
34,10
41,9
23,5
217,24
161,9
279,0
97,9
489,3
245,4
270,5
166,11
121,18
33,9
72,1
174,0
192,0
286,61
231,0
138,1
104,6
91,10
682,22
1379,769
629,16
58,4
272,9
213,2
225,2
463,48
285,7
526,18
418,4
515,10
377,5
1186,37
591,560
424,8
119,16
67,9
439,10
1043,117
690,10
84,7
491,16
63,1
46,3
320,17
51,8
85,9
99,13
213,13
156,12
204,128
246,8
225,2
256,427
146,1
212,0
229,3
66,2
158,0
301,7
88,1
148,54
398,11
89,4
151,0
155,5
109,13
117,16
112,7
132,3
149,3
274,9
195,95
138,25
627,266
289,23
209,10
162,75
265,11
301,10
213,5
210,3
408,11
223,6
359,4
535,2
362,10
266,165
156,2
110,21
446,6148
102,1
161,6
279,8
288,6
230,8
271,12
113,2
256,103
306,4
566,10
186,1
135,9
174,195
171,84
373,8
403,5
139,14
148,16
270,8
343,8
254,5
304,9
437,6
412,4
183,11
353,8
144,14
905,10
151,19
276,4
227,3
340,1201
478,12
189,22
211,7
296,2
113,15
113,2
133,19
223,3
322,8
235,3
163,1
373,4
249,147
129,2
245,7
272,9
239,127
135,9
333,44
96,3
210,7
154,72
192,8
152,2
222,3
227,1
542,21
279,274
263,8
358,5498
65,4
190,11
320,4
266,8
452,19013
123,23
543,4661
278,8
445,432
196,7
607,383
180,4
236,8
93,2
48,6
245,169
225,12
133,4
170,11
304,13
150,5
387,8
564,20990
261,36
477,12
154,19
130,13
307,0
113,12
77,4
38,4
209,9
99,0
119,8
182,2
155,1
86,0
124,0
221,1
52,0
38,7
2,0
347,0
99,0
210,0
178,0
149,0
77,0
169,0
237,0
86,0
120,0
234,0
280,0
319,5
171,0
251,5
135,0
1,0
1,0
264,2
218,2
52,0
41,0
67,0
266,9
165,0
70,0
247,1
379,0
305,1
26,0
28,0
37,0
46,0
164,2
282,0
61,5
68,3
73,1
641,0
122,0
654,1
245,2
173,0
64,0
495,9
144,0
476,3
4,0
48,0
77,1
199,0
43,0
30,0
190,1
96,0
295,3
102,0
52,0
71,0
95,1
132,10
63,14
187,6
124,2
296,80
268,46
156,4
148,26
195,14
229,7
111,4
169,34
127,6
139,27
60,8
109,5
148,4
46,3
93,14
164,17
33,4
153,19
173,1
168,1
51,10
198,4
44,3
43,4
105,3
272,5
148,9
91,13
188,26
60,3
110,2
101,6
122,18
105,4
56,1
219,5
87,1
109,3
50,1
173,16
101,1
105,8
89,4
101,1
90,4
113,27
126,6
441,31
302,186
185,40
155,33
177,7
309,102
326,2
265,6
199,8
226,93
129,5
63,11
185,1
54,0
167,4
53,3
352,4
185,3
198,30
59,1
49,1
126,4
120,1
180,120
85,0
230,6
248,52
297,8
158,6
124,3
213,1
114,0
182,10
178,14
166,0
143,5
170,3
196,5
103,0
114,11
136,6
53,3
63,0
150,14
154,8
114,21
139,4
96,1
177,15
320,6
336,154
54,2
74,1
79,2
50,10
183,13
73,12
103,15
90,2
124,13
90,14
303,11
309,10
220,52
126,0
928,53
391,136
150,2
223,1
174,2
0,0
102,1
344,20
135,26
334,13
49,3
404,17
185,5
354,184
78,16
139,18
367,11
177,1
378,5
57,19
921,35
0,0
348,9
370,10
72,3
27,9
59,16
113,1
116,24
21,10
19,8
230,62
1542,18
48,14
69,15
96,18
235,1
130,4
111,19
89,20
20,11
74,15
63,18
83,24
62,11
141,24
140,1
124,21
107,16
139,16
264,27
48,4
360,131
64,11
173,11
165,15
79,18
130,19
534,0
237,33
432,5
92,2
128,3
316,3
68,16
193,3
75,3
131,0
74,10
67,11
35,2
217,1
398,3
99,14
138,1
134,0
267,9
87,17
409,6
263,5
210,2
104,14
158,48
286,2
179,1
190,1
163,1
424,7
181,3
139,2
775,18
368,2
105,12
218,2
89,9
326,10
106,3
125,5
123,16
70,21
58,0
61,16
66,14
81,14
39,5
167,0
78,13
140,13
243,4
199,3
354,15
171,78
55,4
136,44
51,8
103,25
619,15
231,30
86,14
63,9
165,89
200,18
180,15
214,152
157,124
44,1
208,6
145,2
177,134
250,11
97,29
112,45
170,108
148,7
360,10
280,9
111,45
188,242
121,43
43,4
111,15
111,4
119,31
358,10
187,25
180,84
227,173
146,19
105,10
131,39
325,13
113,2
102,13
441,10
260,6
31,14
70,10
147,1
177,145
112,18
117,18
118,6
118,3
162,10
318,2
59,14
54,0
238,41
350,389
111,11
207,4
140,23
103,8
323,407
487,93
180,16
156,0
118,13
227,18
26,2
120,0
59,6
90,13
22,2
73,5
183,15
67,14
45,1
110,3
120,4
87,1
139,4
104,0
60,1
214,6
160,1
322,8
348,3
292,10
51,0
251,20
67,5
43,8
58,10
37,1
40,2
56,9
59,3
147,2
231,5
71,6
48,1
261,4
225,0
148,16
68,3
543,22
74,9
249,10
629,7
57,9
279,18
68,13
106,19
73,19
68,14
12,5
10,4
35,0
40,1
44,9
6,0
80,4
83,8
66,2
421,3
246,5
151,0
304,6
263,19
216,16
42,9
289,11
330,8
320,2
355,9
242,4
471,13
320,7
486,2
353,6
469,10
271,37
228,3
495,11
381,5
480,10
140,6
443,11
182,1
121,0
49,9
227,0
230,6
192,26
417,11
552,8
111,12
130,19
100,11
50,11
385,16
108,16
368,12
307,18
176,4
246,13
152,30
286,5
108,8
25,8
21,2
318,7
370,16
58,3
45,0
69,0
135,2
212,11
184,3
103,0
302,9
246,9
117,0
52,12
317,8
189,13
192,19
96,8
112,11
124,12
155,5
167,16
157,13
101,7
230,20
136,5
131,0
128,18
129,13
376,18
68,9
142,2
106,12
88,3
49,9
1052,12
948,7
1552,23
1580,14
1241,6
1054,9
954,10
1014,14
1768,0
951,13
1223,34
987,13
2799,67
102,1
160,3
1575,15
945,9
1194,14
1339,9
963,6
1145,25
950,8
2024,23
950,13
951,10
974,10
1139,57
1061,5
1018,10
991,10
952,4
1999,22
1251,17
968,9
1338,6
948,5
1,0
1914,0
1377,5
1244,13
948,3
1229,5
1363,12
956,6
1080,28
994,9
1419,7
954,6
550,1
549,6
1143,154
1356,10
1774,2
1230,49
1451,14
1784,3
1983,8
2632,11
2166,8
1218,12
1724,129
2773,8
1259,211
1270,9
1921,8
1164,222
1029,11
1197,12
951,6
121,14
169,10
2186,14
1910,7
1069,20
2177,18
1825,13
1880,1
1265,10
2297,260
1700,290
976,2
1077,21
1346,330
1188,14
1081,15
1898,28
1916,15
1092,17
1566,31
992,7
1172,199
1646,12
1966,23
2020,12
2055,29
1830,15
2244,11
1128,10
1842,286
2606,13
2153,44
2042,225
1125,363
2098,32
1956,17
2444,24
1803,10
1042,8
1231,27
2045,25
1915,74
1995,21
2183,56
1140,297
1805,15
1962,354
1933,8
2636,16
2264,284
2606,2
1618,13
2947,14
2062,206
1987,13
2265,8
1249,0
2791,10
2214,1
2620,4
2025,7
1968,6
2204,8
2211,361
2399,11
2260,390
1977,10
2348,12
2489,32
2293,7
2221,10
2314,509
1279,11
2404,11
2010,32
1191,22
1392,10
2204,10
1929,17
7,0
12,1
3,0
2303,21
1926,4
2288,5
2419,15
2297,14
1888,15
2033,11
2414,22
1982,12
2223,13
2341,18
2101,7
2201,2
2020,4
1940,70
2071,12
2080,32
2382,17
2259,5
55,2
2242,7
2028,16
2300,1
6,0
2273,2
2132,36
2074,22
2276,30
2319,14
2217,3
2329,13
2174,18
2252,0
2251,3
1931,26
2095,213
2030,28
2634,449
2026,35
2118,6
2112,28
2675,13
2126,11
2418,179
1892,4
2462,12
3639,175
270,14
380,24
421,16
2253,8
2346,7
2999,281
1904,5
2402,4
2239,42
2332,46
2374,8
2492,10
2072,22
2826,21
2032,3
2154,6
1997,3
2320,7
2190,10
2545,14
2452,8
4710,50
2549,8
3190,19
3510,12
2255,10
2309,5
2051,7
2350,11
2105,19
2291,108
2349,53
2157,19
2151,4
2615,23
2148,32
3115,24
1302,16
1815,12
1379,20
1169,3
1509,26
956,6
1220,10
1601,38
1496,85
1103,24
1526,14
1159,32
1010,14
1182,29
1428,11
1473,12
1180,5
1864,9
1032,9
1630,15
545,13
1193,38
1477,11
1272,7
1238,21
1500,13
1917,58
1126,66
1246,41
1540,25
1282,35
1253,42
1484,44
1445,40
1132,16
1610,55
1714,36
2785,26
1884,17
1667,6
1204,9
1182,0
1212,7
2674,24
2054,21
1469,51
1668,10
2000,9
1497,11
1342,4
1268,6
1428,8
1492,5
2621,122
1277,14
1833,30
2149,37
1562,46
98,3
264,43
1253,13
1300,18
1451,8
1444,6
1182,0
366,28
1424,6
1294,23
1501,113
16,0
40,0
1078,131
413,29
1077,243
860,196
748,38
0,0
103,1
9,0
7,0
10,0
15,0
16,0
616,11
1781,162
1343,15
212,16
1053,5
1272,17
2081,58
2713,67
1529,22
753,9
271,3
1429,34
147,4
3730,156
357,7
358,1
1211,84
323,12
169,4
774,25
1058,29
230,4
1204,23
375,15
300,15
228,9
435,9
572,6
532,19
471,10
640,31
376,3
330,5
591,41
519,17
437,4
287,5
482,38
543,17
463,14
272,3
432,5
1013,24
653,19
148,6
433,7
404,6
616,7
452,5
457,6
600,13
345,7
156,7
227,11
748,40
406,3
548,36
156,0
641,14
14,1
489,13
644,30
187,12
893,23
406,18
329,10
507,15
188,8
359,6
525,14
306,12
615,20
572,10
110,0
742,10
596,17
1230,31
758,24
322,9
924,22
537,16
433,4
442,17
544,19
699,10
1442,48
332,3
972,16
330,18
1325,30
1923,234
1467,107
1989,36
779,9
626,9
493,14
2520,64
273,10
2613,50
2137,44
665,9
3919,77
4094,61
2836,48
562,5
767,26
722,9
37,0
637,8
1347,13
922,5
108,6
685,10
450,4
353,0
458,3
2669,23
371,3
973,8
778,24
551,2
501,4
493,17
306,7
405,6
497,8
782,11
367,7
500,16
426,9
880,24
716,28
461,17
244,6
589,18
321,6
396,10
350,5
164,5
718,20
196,12
849,25
109,6
413,7
395,16
425,12
688,8
313,6
399,34
714,46
576,17
462,15
41,2
469,17
17,2
6,0
344,10
621,16
603,13
530,13
211,2
327,6
505,21
424,6
514,10
412,17
150,4
233,4
906,22
800,26
279,10
715,18
969,46
489,23
294,25
437,31
219,8
267,9
321,12
190,3
318,14
246,17
327,9
417,6
317,5
340,11
385,12
543,5
981,32
308,5
425,5
542,9
254,2
325,36
287,9
247,8
273,7
396,30
241,2
204,1
199,6
6,0
421,10
240,7
479,18
282,7
107,1
258,5
799,31
157,9
358,19
45,1
155,2
328,21
271,6
202,10
249,7
460,31
100,0
101,2
258,7
152,5
87,3
46,4
63,0
271,3
126,5
175,6
47,0
42,0
53,1
100,1
41,1
34,0
238,4
223,3
75,0
101,1
51,0
77,3
1190,12
9,0
134,3
72,0
188,6
221,2
221,3
94,3
82,3
216,8
110,0
348,0
225,13
80,1
91,6
184,11
562,0
184,0
190,2
360,23
57,0
102,4
152,2
263,14
62,1
126,18
114,3
187,9
58,7
46,3
183,4
99,11
51,0
92,6
103,6
326,9
113,2
61,0
76,3
66,1
638,34
154,0
95,9
29,0
71,2
813,6
506,44
68,7
174,11
105,4
179,11
191,6
203,3
277,52
62,2
200,6
339,30
178,10
23,0
65,11
250,7
59,0
110,12
147,13
62,6
686,53
351,5
215,12
100,6
131,1
560,22
374,9
559,22
169,6
473,9
58,2
164,4
614,24
211,2
129,9
155,5
438,14
304,20
116,2
135,1
115,9
128,3
128,3
55,4
109,1
58,0
83,0
164,6
210,9
133,17
91,6
226,13
50,3
243,0
113,15
243,5
141,1
130,0
65,2
3,3
75,3
45,0
177,14
45,1
93,8
73,0
82,5
89,17
52,5
52,5
32,1
140,18
113,5
1201,86
1145,22
107,5
27,5
101,9
160,8
197,20
70,3
88,11
22,1
265,5
73,4
211,2
165,9
190,6
83,1
51,1
386,15
135,14
273,35
87,25
240,30
47,1
23,7
84,4
18,0
59,5
44,0
28,0
30,1
39,2
17,0
74,15
68,6
65,2
52,2
78,8
28,3
63,5
19,24
21,22
77,12
137,3
537,16
57,5
144,11
13,1
10,0
108,5
49,0
1,0
29,1
24,2
156,17
56,1
34,1
16,1
25,1
38,4
45,5
74,2
8,0
2,0
131,8
32,3
14,1
90,10
122,2
5,0
97,5
31,1
80,4
51,1
38,0
102,5
92,10
54,4
44,4
78,5
66,10
54,6
25,0
74,5
79,7
104,3
38,7
17,6
75,8
52,3
38,0
58,5
12,1
4,0
28,4
4,0
51,0
18,1
45,0
14,0
54,1
65,4
73,0
43,3
28,4
22,1
39,3
62,8
20,2
17,0
49,7
62,7
43,2
30,1
28,0
49,2
67,6
20,1
81,5
58,6
13,5
47,0
7,0
62,2
84,6
23,2
19,4
13,0
8,1
35,1
37,0
73,10
114,9
69,6
43,0
106,3
69,2
65,2
52,0
79,1
49,1
31,0
7,0
6,0
7,0
5,1
18,1
32,0
33,1
97,0
102,16
38,10
16,2
3,1
27,0
78,4
29,0
66,9
78,16
57,9
19,4
82,14
5,4
52,5
45,14
41,19
55,10
40,1
48,4
53,7
5,0
0,0
74,6
7,1
96,214
43,2
13,3
28,3
34,0
83,1
7,0
34,0
97,3
24,4
106,18
131,4
132,7
79,5
71,2
55,8
51,9
46,3
5,2
52,5
18,0
207,13
105,5
30,0
32,0
44,10
100,28
58,4
22,1
26,0
45,4
21,0
75,15
21,0
72,23
50,1
26,6
46,9
80,7
41,11
69,6
3,2
21,4
64,1
60,19
25,3
48,17
45,4
2,0
7,0
61,13
16,9
27,3
42,16
65,0
44,4
55,12
59,7
51,6
41,1
12,5
57,7
55,7
76,4
103,14
46,2
74,14
25,0
34,0
50,1
47,0
64,2
40,1
58,1
67,3
50,3
53,1
67,8
90,12
60,2
30,8
52,10
5,0
56,14
26,2
71,11
53,4
35,2
31,2
45,0
20,1
3,2
48,0
18,0
56,10
64,2
63,0
40,9
92,1
53,0
33,0
84,6
87,11
26,0
22,0
78,0
67,6
26,1
14,0
18,0
24,0
27,0
30,11
34,4
26,1
38,4
55,5
80,9
33,3
44,10
41,7
30,3
34,0
30,0
38,9
24,4
37,2
18,3
55,15
54,3
67,11
94,18
41,2
36,2
65,3
90,6
42,2
48,4
45,10
47,2
31,4
105,23
48,0
37,5
5,2
11,0
27,11
2,0
43,1
46,4
53,3
10,1
22,5
12,3
50,6
47,13
14,0
1,0
25,18
16,0
46,2
76,1
16,0
40,1
83,15
89,28
30,0
12,0
52,17
58,19
22,4
6,0
30,2
58,5
32,4
48,5
43,4
30,0
41,3
42,10
59,6
17,0
47,0
14,5
12,1
30,23
25,3
0,0
4,1
3,0
5,1
2,0
11,6
38,10
13,0
19,0
15,1
21,4
42,2
12,0
19,4
24,2
32,1
15,8
22,4
33,8
11,6
47,6
41,7
29,4
48,7
13,8
32,2
42,8
26,5
67,25
23,4
33,4
25,3
22,4
26,0
38,10
50,19
29,1
26,0
25,1
15,0
18,0
28,4
14,23
20,2
17,21
34,0
17,11
40,6
21,5
14,4
43,17
27,5
35,22
24,1
30,4
21,2
41,7
15,1
27,6
22,3
36,13
10,18
24,5
19,1
63,25
47,15
57,11
14,4
35,5
12,0
15,3
31,15
45,5
35,24
38,30
26,11
35,11
53,36
26,0
16,0
28,7
16,1
26,16
26,11
27,14
33,6
27,8
37,10
23,5
13,0
17,8
30,0
18,13
30,9
26,7
16,9
47,5
16,7
13,9
32,13
21,11
24,8
22,4
14,2
24,12
24,1
18,20
14,2
17,4
14,0
16,0
15,0
11,1
15,0
15,1
16,8
14,0
17,0
0,0
32,2
29,7
19,12
49,5
62,25
9,11
33,7
40,28
46,31
31,11
15,0
40,17
20,5
32,9
34,11
14,0
16,10
5,0
21,0
18,1
14,6
23,0
20,22
24,24
24,30
19,25
4,0
35,7
15,4
16,2
20,6
15,18
23,4
18,0
16,4
17,1
15,11
27,1
25,6
24,8
14,0
22,3
15,3
34,44
14,3
18,2
13,3
14,1
30,0
30,8
18,3
24,2
21,0
8,16
23,3
27,2
9,10
12,0
22,1
18,6
17,6
18,0
16,2
16,0
13,2
19,3
2,0
17,1
14,1
2,0
13,2
1,0
18,3
23,7
17,1
17,6
14,1
1,0
10,1
13,12
35,25
4,0
15,12
11,6
8,15
11,3
22,6
10,6
11,6
14,23
21,5
26,4
25,9
10,11
11,2
22,7
11,1
14,2
33,17
19,7
27,2
20,16
27,13
19,18
10,9
27,18
87,28
